timeInMillis,temperature,processorLoadUser,processCount,availableMemory,availableStorageSpace
1592447280000,0.0,138123152,366,4924854272,230960545792
1592447340000,0.0,138172433,365,5065416704,230958768128
1592447400000,0.0,138214014,364,5061156864,230958374912
1592447460000,0.0,138257544,363,5056712704,230956548096
1592447520000,0.0,138290497,363,5069791232,230956470272
1592447580000,0.0,138343403,363,4749152256,230963875840
1592447640000,0.0,138395355,361,5075173376,230962712576
1592447700000,0.0,138443762,368,4895588352,230959910912
1592447760000,0.0,138495762,363,4907429888,230959161344
1592447820000,0.0,138537965,362,4861386752,230958436352
1592447880000,0.0,138578591,361,4836507648,230956589056
1592447940000,0.0,138637668,363,4967796736,230956908544
1592448000000,0.0,138685309,362,4903604224,230954958848
1592448060000,0.0,138746480,363,4859686912,230952062976
1592448120000,0.0,138801217,365,4858920960,230955552768
1592448180000,0.0,138846339,368,4847960064,230956564480
1592448240000,0.0,138890450,363,4923174912,230956351488
1592448300000,0.0,138953325,360,4764139520,230953967616
1592448360000,0.0,139020340,363,4747706368,230953029632
1592448420000,0.0,139088089,371,4604452864,230954373120
1592448480000,0.0,139147808,369,4643753984,230954549248
1592448540000,0.0,139209872,369,4797149184,230954221568
1592448600000,0.0,139274856,366,4725837824,230955126784
1592448660000,0.0,139326543,366,4730839040,230954885120
1592448720000,0.0,139383842,365,4751065088,230953238528
1592448780000,0.0,139438450,364,4754956288,230957412352
1592448840000,0.0,139491105,368,4788576256,230956732416
1592448900000,0.0,139554448,364,4721446912,230954749952
1592448960000,0.0,139615043,365,4652498944,230953947136
